Laptop,Variante,Datensatz,Bilder,Prozesse,Laufzeit in s,Std,CI_low,CI_high,Speedup,Efficiency,Throughput,all_times
2,Dynamic,NIH,100,1,0.78,0.0126,0.7707,0.7887,1.0,1.0,128.26,"[0.7752849590033293, 0.7706886350060813, 0.7652687930094544, 0.7793968059995677, 0.7843107280059485, 0.7781674850120908, 0.7799704869976267, 0.7942843799974071, 0.8033298939990345, 0.8005413700011559]"
2,Dynamic True,NIH,100,1,0.792,0.0304,0.7705,0.814,1.0,1.0,126.22,"[0.8564998189976905, 0.8326331809948897, 0.788311190000968, 0.7988640989933629, 0.7877968440006953, 0.7904273329913849, 0.861272802008898, 0.7912987840099959, 0.7931812850001734, 0.7793561919970671]"
2,Dynamic,NIH,100,2,0.412,0.0086,0.4062,0.4185,1.893,0.947,242.5,"[0.42253993899794295, 0.4088752389943693, 0.4080492549983319, 0.4050139370083343, 0.4133748930034926, 0.411378788005095, 0.40451850500539877, 0.4190182580059627, 0.41960726500838064, 0.43134872999507934]"
2,Dynamic True,NIH,100,2,0.442,0.0234,0.4251,0.4586,1.792,0.896,226.3,"[0.4397825720079709, 0.44400035600119736, 0.43698834799579345, 0.4313136140117422, 0.4520944810064975, 0.5091087659966433, 0.44744008699490223, 0.43211940200126264, 0.42634872799681034, 0.4457901849964401]"
2,Dynamic,NIH,100,4,0.266,0.0029,0.2639,0.2681,2.932,0.733,376.0,"[0.27163563600333873, 0.263688197999727, 0.26204104100179393, 0.26318115400499664, 0.26486617399496026, 0.26629320898791775, 0.26722361899737734, 0.2656271960004233, 0.26649421600450296, 0.26977688100305386]"
2,Dynamic True,NIH,100,4,0.259,0.0032,0.2566,0.2613,3.058,0.764,386.17,"[0.26402981200953946, 0.2589731010084506, 0.25563496199902147, 0.26131319199339487, 0.25892940899939276, 0.2553064139938215, 0.2629891749966191, 0.25875576298858505, 0.2581809919938678, 0.2644849000062095]"
2,Dynamic,NIH,100,8,0.195,0.0052,0.1916,0.199,4.0,0.5,512.03,"[0.20394311798736453, 0.20242728800803889, 0.20728762900398578, 0.19635051699879114, 0.196347450997564, 0.19372680300148204, 0.19419475299946498, 0.19409250000899192, 0.19222432699461933, 0.194252311004675]"
2,Dynamic True,NIH,100,8,0.184,0.0039,0.1809,0.1864,4.304,0.538,544.56,"[0.1890571900003124, 0.18274045900034253, 0.18994082199060358, 0.18217513599665835, 0.1788759509945521, 0.18313199600379448, 0.19019501098955516, 0.18170837800425943, 0.18413893999240827, 0.18662374300765805]"
2,Dynamic,NIH,500,1,3.916,0.1195,3.8305,4.0015,1.0,1.0,127.68,"[3.9297845660039457, 3.9321097590000136, 4.0085126839985605, 4.186060080988682, 4.160090526987915, 3.879613231008989, 3.9021690460067475, 3.865220377003425, 3.877083188999677, 3.8724456449999707]"
2,Dynamic True,NIH,500,1,3.864,0.0071,3.8591,3.8692,1.0,1.0,129.39,"[3.8647325959900627, 3.8722206079983152, 3.8547818249935517, 3.8561856230080593, 3.863556875992799, 3.8595447760017123, 3.8633935940015363, 3.873216156993294, 3.875356971009751, 3.8669579589914065]"
