Laptop,Variante,Datensatz,Bilder,Prozesse,Laufzeit in s,Std,CI_low,CI_high,Speedup,Efficiency,Throughput,all_times
2,Static,NIH,100,1,0.781,0.0053,0.7773,0.7849,1.0,1.0,128.03,"[0.7762451900052838, 0.7816345610044664, 0.779684161010664, 0.7862937669997336, 0.7803238839987898, 0.7896675340016373, 0.7881122370017692, 0.7805596170073841, 0.7927039969945326, 0.7801255099911941]"
2,Static,NIH,100,2,0.437,0.0045,0.434,0.4404,1.787,0.893,228.75,"[0.4361999420070788, 0.43676425400190055, 0.43519223599287216, 0.4355516319919843, 0.4343737460003467, 0.44179423700552434, 0.43755413001053967, 0.43883933800680097, 0.4495685549918562, 0.438697300007334]"
2,Static,NIH,100,4,0.287,0.0262,0.2681,0.3055,2.721,0.68,348.7,"[0.28707027398922946, 0.3543865800020285, 0.2635272579937009, 0.28893410999444313, 0.2731121310062008, 0.2859599640069064, 0.286486053999397, 0.28275721799582243, 0.31197830800374504, 0.31660895100503694]"
2,Static,NIH,100,8,0.217,0.0292,0.1961,0.2379,3.599,0.45,460.84,"[0.2971869580069324, 0.20706598499964457, 0.20746788100223057, 0.214970508008264, 0.2602630350011168, 0.22029694900265895, 0.21902288199635223, 0.22421073299483396, 0.2081817550060805, 0.21172386799298692]"
2,Static,NIH,500,1,4.034,0.1379,3.9351,4.1324,1.0,1.0,123.96,"[3.99032755799999, 4.1141355379950255, 4.1595453929912765, 3.953202845004853, 4.015517216001172, 4.051923531005741, 4.285456076991977, 4.28389830100059, 3.9020438409934286, 3.937759856999037]"
2,Static,NIH,500,2,2.199,0.0389,2.1717,2.2273,1.834,0.917,227.33,"[2.1908621600014158, 2.1822042590065394, 2.1833114309993107, 2.1964869990042644, 2.1919712719973177, 2.2024744320078753, 2.234980741995969, 2.2090080630005104, 2.2142554849997396, 2.3128970570105594]"
2,Static,NIH,500,4,1.345,0.0068,1.3404,1.3502,2.999,0.75,371.67,"[1.3377358629950322, 1.3444945789960911, 1.3408013700100128, 1.34607995999977, 1.3437852230126737, 1.3571342880022712, 1.3441520719934488, 1.3468892420060001, 1.3531964480062015, 1.3584753000031924]"
2,Static,NIH,500,8,0.947,0.006,0.9428,0.9514,4.26,0.532,527.91,"[0.9498607480054488, 0.9471697850094642, 0.9422141709947027, 0.9470778319955571, 0.9455750339984661, 0.9436048560019117, 0.9467716240033042, 0.9512259649927728, 0.9610821889946237, 0.9574569380056346]"
2,Static,NIH,1000,1,7.851,0.3425,7.6061,8.0961,1.0,1.0,127.37,"[7.858831703997566, 7.843357327001286, 7.489525457000127, 8.004891524993582, 7.952467216993682, 8.698883835997549, 7.766653498008964, 7.975476399995387, 7.449640245002229, 7.824076153003261]"
2,Static,NIH,1000,2,4.424,0.1309,4.3306,4.5178,1.775,0.887,226.03,"[4.014847458995064, 4.444390667005791, 4.422988054997404, 4.418349383995519, 4.422550604998833, 4.425450827999157, 4.404795442009345, 4.42818612800329, 4.430985813000007, 4.445235388993751]"
