Laptop,Variante,Datensatz,Bilder,Prozesse,Laufzeit in s,Std,CI_low,CI_high,Speedup,Efficiency,Throughput,all_times
1,Dynamic,NIH,100,1,2.283,0.059,2.2412,2.3256,1.0,1.0,43.79,"[2.2954133999883197, 2.3029154999821912, 2.2563692000112496, 2.2882389000151306, 2.345948000001954, 2.195168799982639, 2.201983700011624, 2.3052583999815397, 2.278534499986563, 2.159090400004061]"
1,Dynamic Adaptive,NIH,100,1,2.256,0.0248,2.2384,2.274,1.0,1.0,44.32,"[2.2965611000254285, 2.2921624000009615, 2.2593600999971386, 2.2472203000215814, 2.253043200005777, 2.2897903000121005, 2.261814099998446, 2.2423868000041693, 2.2183872000023257, 2.2530140999879222]"
1,Dynamic,NIH,100,2,1.914,0.1104,1.8348,1.9927,1.193,0.597,52.25,"[1.8281678000057582, 1.7914328999759164, 1.7969148000120185, 1.8302703000081237, 1.8541223999927752, 2.056416099978378, 2.0775456000119448, 2.0075478999933694, 1.973399899987271, 1.9765793999831658]"
1,Dynamic Adaptive,NIH,100,2,2.1,0.1591,1.9862,2.2138,1.074,0.537,47.62,"[2.2398146000050474, 2.0926390000095125, 2.107361399976071, 2.38236320001306, 2.0257505000045057, 2.3507619999872986, 1.9306683999893721, 2.0142811999830883, 2.248802899994189, 1.9762013999861665]"
1,Dynamic,NIH,100,4,2.046,0.0522,2.0088,2.0835,1.116,0.279,48.87,"[2.030246399983298, 2.154066100018099, 2.1336559999908786, 2.0615097999980208, 2.0307573000027332, 2.132457899977453, 2.026094699976966, 2.070106899976963, 2.025496300018858, 2.020420599990757]"
1,Dynamic Adaptive,NIH,100,4,2.256,0.0661,2.2089,2.3034,1.0,0.25,44.32,"[2.23701899999287, 2.264568499987945, 2.1930786999873817, 2.2142076999880373, 2.1797008000139613, 2.409157900023274, 2.303343900013715, 2.290560399997048, 2.2832418000034522, 2.247792300011497]"
1,Dynamic,NIH,100,8,2.818,0.0672,2.77,2.8663,0.81,0.101,35.48,"[2.786285800015321, 2.802568099985365, 2.817608299985295, 2.7931406999996398, 2.7988016000017524, 2.8483809999888763, 2.9014858000155073, 2.955687699984992, 2.818687899998622, 2.9627025999943726]"
1,Dynamic Adaptive,NIH,100,8,3.272,0.1864,3.1386,3.4054,0.689,0.086,30.56,"[3.2912456000049133, 3.222649300005287, 3.547830299998168, 3.6439650999964215, 3.3244807999872137, 3.086283700016793, 3.1491761000070255, 3.2758541999792214, 3.2681639999791514, 3.0588503000035416]"
1,Dynamic,NIH,500,1,6.802,0.4076,6.5103,7.0934,1.0,1.0,73.51,"[6.820801299996674, 6.415538100001868, 6.223330700013321, 6.74969249998685, 6.782780699984869, 7.324418499978492, 7.6659433000022545, 6.858830699988175, 6.9049444000120275, 6.782876200013561]"
1,Dynamic Adaptive,NIH,500,1,6.459,0.2449,6.2841,6.6344,1.0,1.0,77.41,"[6.751097899978049, 7.0199980000033975, 6.55084040001384, 6.541060999996262, 6.377398399985395, 6.330077700025868, 6.305464200006099, 6.26851429999806, 6.314899599994533, 6.685526399989612]"
