Laptop,Variante,Datensatz,Bilder,Prozesse,Laufzeit in s,Std,CI_low,CI_high,Speedup,Efficiency,Throughput,all_times
1,Static,NIH,100,1,2.297,0.0673,2.2494,2.3456,1.0,1.0,43.53,"[2.199683000013465, 2.176230699988082, 2.265894800017122, 2.3119917000003625, 2.230874800006859, 2.3091107000072952, 2.362498800008325, 2.3622358000138775, 2.285854100016877, 2.3561368999944534]"
1,Static,NIH,100,2,2.12,0.1173,2.0359,2.2037,1.083,0.541,47.17,"[2.054734000004828, 2.164396800013492, 2.0751988000120036, 2.0429065999924205, 2.0519060000078753, 2.0233517000160646, 2.2421059000189416, 2.3260320000117645, 2.2610798999958206, 2.2918129000172485]"
1,Static,NIH,100,4,2.413,0.1003,2.3413,2.4847,0.952,0.238,41.44,"[2.4579044000129215, 2.352463999995962, 2.4308710000186693, 2.4135278000030667, 2.412484000000404, 2.2175766000000294, 2.5269257000181824, 2.2581483999965712, 2.4184022000117693, 2.2578956999932416]"
1,Static,NIH,100,8,3.42,0.2052,3.2728,3.5663,0.672,0.084,29.24,"[3.36180179999792, 3.2639932000020053, 3.772663800016744, 3.1190029999997932, 3.477289499976905, 3.1604808999982197, 3.5310373000102118, 3.483961299993098, 3.359623800002737, 3.633705300017027]"
1,Static,NIH,500,1,6.894,0.305,6.6755,7.1119,1.0,1.0,72.53,"[7.561739700002363, 7.194840199983446, 7.004229899990605, 6.848625699989498, 6.938696999975946, 6.788961999991443, 6.743958600010956, 6.955559499998344, 6.64002230000915, 6.461712100019213]"
1,Static,NIH,500,2,5.448,0.0815,5.3902,5.5068,1.265,0.632,91.77,"[5.30602680001175, 5.450622200005455, 5.594688699988183, 5.475040899997111, 5.395986399991671, 5.5167562999995425, 5.4366434999974445, 5.446376200008672, 5.373165199998766, 5.513371900015045]"
1,Static,NIH,500,4,6.56,0.1133,6.4785,6.6406,1.051,0.263,76.23,"[6.56384600000456, 6.521159099997021, 6.774519500002498, 6.555205000011483, 6.52907430002233, 6.506525500008138, 6.536092900001677, 6.61526990000857, 6.570593500015093, 6.837785399984568]"
1,Static,NIH,500,8,10.738,0.1611,10.6229,10.8534,0.642,0.08,46.56,"[10.945304799999576, 10.961953599995468, 10.785963800008176, 10.638157200010028, 10.908739299979061, 10.69035590000567, 10.624099399981787, 10.797485000017332, 10.459861499984981, 10.67524329997832]"
1,Static,NIH,1000,1,13.242,1.2994,12.3121,14.1711,1.0,1.0,75.52,"[12.519427099992754, 12.102338299999246, 12.310678099980578, 12.970312999997986, 16.624073600018164, 14.145564800011925, 12.842830900015542, 13.536832399986451, 13.679037599998992, 13.512900999980047]"
1,Static,NIH,1000,2,8.673,0.2444,8.4979,8.8476,1.527,0.763,115.3,"[8.837562000000617, 8.91464289999567, 8.861575399991125, 8.880259300000034, 8.846154900005786, 8.50793479999993, 8.504610099975253, 8.37571960000787, 8.337451200000942, 8.363324100006139]"
1,Static,NIH,1000,4,8.141,0.2026,7.9963,8.2862,1.627,0.407,122.83,"[8.013802100002067, 8.022066800011089, 8.148351299983915, 8.100050099979853, 8.271172999986447, 8.244243399996776, 8.134191499993904, 8.134066700004041, 8.45699110001442, 8.660662600013893]"
1,Static,NIH,1000,8,12.269,0.3596,12.0113,12.5257,1.079,0.135,81.51,"[12.059335600002669, 11.765616999997292, 12.256850399979157, 12.859703199996147, 12.984066299977712, 12.394416900002398, 12.184544400020968, 12.280164599971613, 12.156811399996514, 12.345439800003078]"
1,Static,Kaggle Pneumonia,100,1,3.147,0.1265,3.057,3.2379,1.0,1.0,31.77,"[3.1901284999912605, 3.200571699999273, 2.978566400008276, 3.239879100001417, 3.069361999980174, 3.3340604999975767, 3.27158880000934, 3.0808680999907665, 3.10482380000758, 2.9475529000046663]"
1,Static,Kaggle Pneumonia,100,2,3.278,0.0646,3.2313,3.3238,0.96,0.48,30.51,"[3.3800969000149053, 3.3802981000044383, 3.301071599998977, 3.2854183000163175, 3.2697309000068344, 3.2627091000031214, 3.204787299997406, 3.204681899980642, 3.2084349999786355, 3.293660199997248]"
