Laptop,Variante,Datensatz,Bilder,Prozesse,Laufzeit in s,Speedup,Efficiency,Throughput
2,Dynamic,NIH,100,1,0.695,1.0,1.0,143.95
2,Dynamic,NIH,100,2,0.4,1.737,0.869,249.97
2,Dynamic,NIH,100,4,0.247,2.814,0.704,404.24
2,Dynamic,NIH,100,8,0.195,3.564,0.446,511.82
2,Dynamic,NIH,500,1,3.491,1.0,1.0,143.22
2,Dynamic,NIH,500,2,1.991,1.753,0.876,251.17
2,Dynamic,NIH,500,4,1.231,2.836,0.709,406.31
2,Dynamic,NIH,500,8,0.877,3.981,0.498,570.18
2,Dynamic,NIH,1000,1,7.074,1.0,1.0,141.37
2,Dynamic,NIH,1000,2,3.984,1.776,0.888,251.03
2,Dynamic,NIH,1000,4,2.408,2.938,0.735,415.34
2,Dynamic,NIH,1000,8,1.684,4.201,0.525,593.79
2,Dynamic,NIH,5000,1,35.494,1.0,1.0,140.87
2,Dynamic,NIH,5000,2,19.957,1.779,0.889,250.54
2,Dynamic,NIH,5000,4,11.978,2.963,0.741,417.43
2,Dynamic,NIH,5000,8,8.231,4.312,0.539,607.45
2,Dynamic,Kaggle Pneumonia,100,1,0.973,1.0,1.0,102.81
2,Dynamic,Kaggle Pneumonia,100,2,0.573,1.698,0.849,174.4
2,Dynamic,Kaggle Pneumonia,100,4,0.381,2.554,0.638,262.7
2,Dynamic,Kaggle Pneumonia,100,8,0.316,3.079,0.385,316.95
2,Dynamic,Kaggle Pneumonia,500,1,4.876,1.0,1.0,102.55
2,Dynamic,Kaggle Pneumonia,500,2,2.792,1.746,0.873,179.1
2,Dynamic,Kaggle Pneumonia,500,4,1.757,2.775,0.694,284.66
2,Dynamic,Kaggle Pneumonia,500,8,1.27,3.839,0.48,393.75
2,Dynamic,Kaggle Pneumonia,1000,1,9.891,1.0,1.0,101.11
2,Dynamic,Kaggle Pneumonia,1000,2,5.649,1.751,0.875,177.02
2,Dynamic,Kaggle Pneumonia,1000,4,3.526,2.805,0.701,283.64
2,Dynamic,Kaggle Pneumonia,1000,8,2.506,3.947,0.493,399.0
2,Dynamic,Kaggle Pneumonia,5000,1,27.727,1.0,1.0,180.33
2,Dynamic,Kaggle Pneumonia,5000,2,15.806,1.754,0.877,316.33
2,Dynamic,Kaggle Pneumonia,5000,4,9.837,2.819,0.705,508.31
2,Dynamic,Kaggle Pneumonia,5000,8,6.984,3.97,0.496,715.9
