Laptop,Variante,Datensatz,Bilder,Prozesse,Laufzeit in s,Speedup,Efficiency,Throughput
2,Dynamic,NIH,100,1,0.674,1.0,1.0,148.33
2,Dynamic,NIH,100,2,0.359,1.877,0.939,278.54
2,Dynamic,NIH,100,4,0.222,3.036,0.759,451.32
2,Dynamic,NIH,100,8,0.173,3.896,0.487,578.2
2,Dynamic,NIH,500,1,3.362,1.0,1.0,148.73
2,Dynamic,NIH,500,2,1.851,1.816,0.908,270.07
2,Dynamic,NIH,500,4,1.094,3.073,0.768,457.0
2,Dynamic,NIH,500,8,0.739,4.549,0.569,676.7
2,Dynamic,NIH,1000,1,6.694,1.0,1.0,149.38
2,Dynamic,NIH,1000,2,3.671,1.823,0.911,272.44
2,Dynamic,NIH,1000,4,2.137,3.132,0.783,467.88
2,Dynamic,NIH,1000,8,1.409,4.751,0.594,709.62
2,Dynamic,NIH,5000,1,33.969,1.0,1.0,147.19
2,Dynamic,NIH,5000,2,18.399,1.846,0.923,271.76
2,Dynamic,NIH,5000,4,10.722,3.168,0.792,466.35
2,Dynamic,NIH,5000,8,6.899,4.924,0.616,724.75
2,Dynamic,Kaggle Pneumonia,100,1,0.916,1.0,1.0,109.21
2,Dynamic,Kaggle Pneumonia,100,2,0.524,1.748,0.874,190.72
2,Dynamic,Kaggle Pneumonia,100,4,0.336,2.726,0.681,297.98
2,Dynamic,Kaggle Pneumonia,100,8,0.262,3.496,0.437,382.15
2,Dynamic,Kaggle Pneumonia,500,1,4.601,1.0,1.0,108.67
2,Dynamic,Kaggle Pneumonia,500,2,2.558,1.799,0.899,195.49
2,Dynamic,Kaggle Pneumonia,500,4,1.537,2.993,0.748,325.3
2,Dynamic,Kaggle Pneumonia,500,8,1.062,4.332,0.541,470.99
2,Dynamic,Kaggle Pneumonia,1000,1,9.283,1.0,1.0,107.72
2,Dynamic,Kaggle Pneumonia,1000,2,5.267,1.762,0.881,189.87
2,Dynamic,Kaggle Pneumonia,1000,4,3.15,2.947,0.737,317.43
2,Dynamic,Kaggle Pneumonia,1000,8,2.16,4.298,0.537,462.99
2,Dynamic,Kaggle Pneumonia,5000,1,26.643,1.0,1.0,187.66
2,Dynamic,Kaggle Pneumonia,5000,2,15.166,1.757,0.878,329.69
2,Dynamic,Kaggle Pneumonia,5000,4,8.981,2.967,0.742,556.73
2,Dynamic,Kaggle Pneumonia,5000,8,6.478,4.113,0.514,771.89
