Laptop,Variante,Datensatz,Bilder,Prozesse,Laufzeit in s,Speedup,Efficiency,Throughput
2,Static,NIH,100,1,0.74,1.0,1.0,135.18
2,Static,NIH,100,2,0.419,1.766,0.883,238.91
2,Static,NIH,100,4,0.28,2.643,0.661,357.46
2,Static,NIH,100,8,0.231,3.203,0.4,432.47
2,Static,NIH,500,1,3.579,1.0,1.0,139.68
2,Static,NIH,500,2,2.025,1.767,0.883,246.95
2,Static,NIH,500,4,1.255,2.852,0.713,398.52
2,Static,NIH,500,8,0.874,4.095,0.512,571.9
2,Static,NIH,1000,1,7.126,1.0,1.0,140.34
2,Static,NIH,1000,2,4.001,1.781,0.89,249.92
2,Static,NIH,1000,4,2.451,2.907,0.727,407.98
2,Static,NIH,1000,8,1.694,4.207,0.526,590.26
2,Static,NIH,5000,1,35.641,1.0,1.0,140.29
2,Static,NIH,5000,2,19.922,1.789,0.894,250.98
2,Static,NIH,5000,4,11.911,2.992,0.748,419.79
2,Static,NIH,5000,8,8.284,4.302,0.538,603.59
2,Static,Kaggle Pneumonia,100,1,0.989,1.0,1.0,101.12
2,Static,Kaggle Pneumonia,100,2,0.576,1.717,0.859,173.76
2,Static,Kaggle Pneumonia,100,4,0.386,2.562,0.64,259.09
2,Static,Kaggle Pneumonia,100,8,0.312,3.17,0.396,320.54
2,Static,Kaggle Pneumonia,500,1,4.902,1.0,1.0,102.0
2,Static,Kaggle Pneumonia,500,2,2.838,1.727,0.864,176.17
2,Static,Kaggle Pneumonia,500,4,1.758,2.788,0.697,284.48
2,Static,Kaggle Pneumonia,500,8,1.281,3.827,0.478,390.36
2,Static,Kaggle Pneumonia,1000,1,9.95,1.0,1.0,100.5
2,Static,Kaggle Pneumonia,1000,2,5.703,1.745,0.873,175.35
2,Static,Kaggle Pneumonia,1000,4,3.548,2.804,0.701,281.81
2,Static,Kaggle Pneumonia,1000,8,2.545,3.91,0.489,392.99
2,Static,Kaggle Pneumonia,5000,1,27.844,1.0,1.0,179.57
2,Static,Kaggle Pneumonia,5000,2,19.48,1.429,0.715,256.68
2,Static,Kaggle Pneumonia,5000,4,14.52,1.918,0.479,344.36
2,Static,Kaggle Pneumonia,5000,8,9.365,2.973,0.372,533.89
