test;scheduling;bilder;threads;laufzeit_s;speedup;efficiency;throughput;Datensatz;Methode;SavePrefix
Gleiche Aufloesung (1024x1024);static;100;1;1.0331;1.0;1.0;96.79;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;100;2;0.6074;1.7009;0.8505;164.64;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;100;4;0.3908;2.6436;0.6609;255.88;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;100;8;0.2157;4.7906;0.5988;463.7;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;100;16;0.2095;4.9304;0.3081;477.22;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;500;1;6.9818;1.0;1.0;71.62;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;500;2;3.77;1.8519;0.926;132.63;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;500;4;1.916;3.644;0.911;260.96;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;500;8;1.3458;5.1877;0.6485;371.52;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;500;16;1.3053;5.3486;0.3343;383.04;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;1000;1;13.8101;1.0;1.0;72.41;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;1000;2;8.0386;1.718;0.859;124.4;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;1000;4;4.4212;3.1236;0.7809;226.18;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;1000;8;2.7273;5.0636;0.6329;366.66;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;1000;16;2.6173;5.2765;0.3298;382.08;NIH;Static Threading;static_nih
Variable Aufloesung;static;100;1;1.46;1.0;1.0;68.49;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;100;2;0.8325;1.7539;0.8769;120.12;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;100;4;0.4732;3.0852;0.7713;211.31;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;100;8;0.3503;4.1678;0.521;285.46;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;100;16;0.27;5.407;0.3379;370.33;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;500;1;7.1911;1.0;1.0;69.53;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;500;2;3.7269;1.9295;0.9648;134.16;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;500;4;2.2419;3.2076;0.8019;223.03;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;500;8;1.5552;4.624;0.578;321.51;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;500;16;1.4171;5.0746;0.3172;352.83;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;1000;1;12.857;1.0;1.0;77.78;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;1000;2;7.7759;1.6534;0.8267;128.6;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;1000;4;4.6657;2.7556;0.6889;214.33;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;1000;8;3.2317;3.9784;0.4973;309.44;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;1000;16;2.7671;4.6463;0.2904;361.38;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;dynamic;100;1;1.5757;1.0;1.0;63.46;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;100;2;0.8409;1.8738;0.9369;118.92;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;100;4;0.4963;3.1749;0.7937;201.49;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;100;8;0.3325;4.7388;0.5923;300.74;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;100;16;0.3436;4.5865;0.2867;291.07;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;500;1;6.8837;1.0;1.0;72.64;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;500;2;3.9066;1.7621;0.881;127.99;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;500;4;2.3302;2.9541;0.7385;214.57;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;500;8;1.5594;4.4142;0.5518;320.63;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;500;16;1.3975;4.9256;0.3078;357.77;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;1000;1;14.7165;1.0;1.0;67.95;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;1000;2;8.0135;1.8365;0.9182;124.79;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;1000;4;4.8707;3.0214;0.7554;205.31;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;1000;8;3.0635;4.8037;0.6005;326.42;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;1000;16;2.8121;5.2332;0.3271;355.6;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
